sigma,rho,beta,x0,y0,z0,lyapunov_exponent,fractal_dimension
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,,0.35664329884834733
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,,0.2647746902012752
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,,0.2615173757889763
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,,0.23019431515406857
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,,0.19181227332369039
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,,1.340059866880748
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,,1.37297718869673
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,,1.4270745667682698
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,,1.360422964401466
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,,0.19336160884221512
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,,0.19713946955602327
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,,0.17973708304587216
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,,1.4384945549473276
10.0,28.0,2.6666666666666665,1.0,1.0,1.0,,1.4737662900529345
10.0,28.0,2.6666666666666665,5.0,5.0,5.0,,1.4824480995220426
10.0,35.0,2.6666666666666665,0.1,0.1,0.1,,1.5171349510423742
10.0,35.0,2.6666666666666665,1.0,1.0,1.0,,1.5317514711530797
10.0,35.0,2.6666666666666665,5.0,5.0,5.0,,1.507475170732987
20.0,20.0,2.6666666666666665,0.1,0.1,0.1,,0.1661350195544114
20.0,20.0,2.6666666666666665,1.0,1.0,1.0,,0.17677748778451327
20.0,20.0,2.6666666666666665,5.0,5.0,5.0,,0.1389923736498826
20.0,28.0,2.6666666666666665,0.1,0.1,0.1,,0.26166855731286565
20.0,28.0,2.6666666666666665,1.0,1.0,1.0,,0.265057011862766
20.0,28.0,2.6666666666666665,5.0,5.0,5.0,,1.4129853001124761
20.0,35.0,2.6666666666666665,0.1,0.1,0.1,,1.3684827970831048
20.0,35.0,2.6666666666666665,1.0,1.0,1.0,,1.3882469791764225
20.0,35.0,2.6666666666666665,5.0,5.0,5.0,,0.006426301036032721
