sigma,rho,beta,x0,y0,z0,repeat,lyapunov_exponent,fractal_dimension
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,1,,0.2779306906601938
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,2,,0.2779306906601938
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,3,,0.2779306906601938
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,4,,0.2779306906601938
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,5,,0.2779306906601938
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,1,,0.1512813850102153
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,2,,0.1512813850102153
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,3,,0.1512813850102153
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,4,,0.1512813850102153
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,5,,0.1512813850102153
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,1,,0.15889021509881168
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,2,,0.15889021509881168
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,3,,0.15889021509881168
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,4,,0.15889021509881168
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,5,,0.15889021509881168
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,1,,0.21707724518723007
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,2,,0.21707724518723007
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,3,,0.21707724518723007
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,4,,0.21707724518723007
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,5,,0.21707724518723007
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,1,,0.1717265441445458
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,2,,0.1717265441445458
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,3,,0.1717265441445458
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,4,,0.1717265441445458
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,5,,0.1717265441445458
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,1,,1.6795405466524131
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,2,,1.6795405466524131
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,3,,1.6795405466524131
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,4,,1.6795405466524131
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,5,,1.6795405466524131
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,1,,1.5345810122536978
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,2,,1.5345810122536978
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,3,,1.5345810122536978
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,4,,1.5345810122536978
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,5,,1.5345810122536978
